Site,River_Basin,Habitat,Soil_pH,Cation_Exchange_Capacity,Total_Base_Saturation,Sand,Silt,Clay
BocaManu,Manu,floodplain,5.9,17.6,77,5.4,46,48.6
Camungo,Madre_de_Dios,floodplain,6.2,14.1,77,3.7,72.2,24.1
CICRA,Los_Amigos,floodplain,4.9,12.9,47,9.8,48.9,41.3
CM2,Los_Amigos,floodplain,5.4,13,72,5.8,54.1,40.2
CM3,Los_Amigos,floodplain,5,5.6,58,58,30.2,11.8
CochaCashu,Manu,floodplain,5.8,15.7,77,21.7,42.7,35.6
LasPiedras,Las_Piedras,floodplain,5.3,10.4,61,39.5,38.6,21.9
Maizal,Manu,floodplain,6.7,15.7,87,5.6,66,28.5
Otorongo,Manu,floodplain,6.4,15.7,79,9.6,56,34.4
Pakitza,Manu,floodplain,6.2,15.8,80,21.9,45.1,33
Refugio,Los_Amigos,floodplain,5.3,6.8,65,60.6,28.8,10.6
Salvador,Manu,floodplain,6.4,17.3,79,4.4,56.8,38.8
Tambopata,Tambopata,floodplain,5,8.3,40,11.5,65.6,22.9
BocaManu,Manu,upland,4.4,5.7,15,50.6,32.2,17.1
CICRA,Los_Amigos,upland,4,5.2,9,56.3,21.4,22.3
CM2,Los_Amigos,upland,4.2,3.6,10,67.4,21.2,11.5
CM3,Los_Amigos,upland,4.9,1.8,33,82,11.4,6.6
CochaCashu,Manu,upland,4.6,4.4,25,57.9,30.5,11.5
LasPiedras,Las_Piedras,upland,5.6,3.4,50,71.4,22.3,6.3
Maizal,Manu,upland,5.9,5.6,65,66.2,21.8,12
Pakitza,Manu,upland,4.5,4.9,18,52.5,27.6,20
Refugio,Los_Amigos,upland,4.4,1.9,18,80.3,12.2,7.5
Salvador,Manu,upland,4.3,3.1,23,73.8,15.9,10.3
Tambopata,Tambopata,upland,4.2,6.7,7,48.3,24.6,27